node_index,position_nm,domain,is_free_dof,classical_displacement_nm,vqls_displacement_nm,absolute_error_nm
0,0.0,MD,0,0.0,0.0,0.0
1,1.0,MD,1,0.050318102949725926,0.053805771399567694,0.0034876684498417673
2,2.0,MD,1,0.10063620589945187,0.10761893974087458,0.006982733841422714
3,3.0,MD,1,0.1509543088491778,0.1614359632938085,0.0104816544446307
4,4.0,MD,1,0.20127241179890373,0.21523535265493055,0.013962940856026812
5,5.0,MD,1,0.25159051474862965,0.2690420167171748,0.01745150196854517
6,6.0,MD,1,0.3019086176983556,0.32284294564862476,0.02093432795026917
7,7.0,MD,1,0.3522267206480815,0.3766542390008149,0.02442751835273338
8,8.0,MD,1,0.4025448235978075,0.4304669340114206,0.027922110413613088
9,9.0,MD,1,0.4528629265475336,0.4842478353047278,0.03138490875719424
10,10.0,MD,1,0.5031810294972595,0.5380530190913558,0.03487198959409632
11,11.0,MD,1,0.5534991324469855,0.5918855981586324,0.038386465711646944
12,12.0,MD,1,0.6038172353967114,0.6457054549112334,0.04188821951452204
13,13.0,MD,1,0.6541353383464373,0.6994431809511767,0.04530784260473941
14,14.0,MD,1,0.7044534412961632,0.7532694826673372,0.04881604137117401
15,15.0,MD,1,0.754771544245889,0.8070716670452925,0.05230012279940355
16,16.0,MD,1,0.8050896471956148,0.8609098252182806,0.05582017802266581
17,17.0,MD,1,0.8554077501453409,0.9147237764929277,0.059316026347586814
18,18.0,MD,1,0.9057258530950668,0.9685706180019994,0.06284476490693258
19,19.0,MD,1,0.9560439560447928,1.0223947849613904,0.0663508289165976
20,20.0,MD,1,1.0063620589945186,1.076214273248223,0.06985221425370436
21,21.0,MD,1,1.0566801619442443,1.13005426276194,0.0733741008176958
22,22.0,MD,1,1.10699826489397,1.1838359140031856,0.07683764910921553
23,23.0,MD,1,1.1573163678436957,1.2376300423839217,0.08031367454022598
24,24.0,MD,1,1.2076344707934215,1.291464167636285,0.08382969684286357
25,25.0,MD,1,1.2579525737431472,1.3452954680553375,0.08734289431219033
26,26.0,MD,1,1.308270676692873,1.3991043186156136,0.09083364192274068
27,27.0,MD,1,1.3585887796425986,1.452936919499437,0.09434813985683843
28,28.0,MD,1,1.408906882592324,1.5067750536524889,0.09786817106016477
29,29.0,MD,1,1.4592249855420498,1.5605910625556598,0.10136607701361
30,30.0,MD,1,1.5095430884917755,1.6143813616179523,0.10483827312617677
31,31.0,MD,1,1.5598611914415013,1.6681624574464333,0.10830126600493206
32,32.0,MD,1,1.610179294391227,1.7219471380845301,0.11176784369330317
33,33.0,MD,1,1.6604973973409525,1.775758192896708,0.11526079555575564
34,34.0,MD,1,1.710815500290678,1.8295741320308958,0.11875863174021783
35,35.0,MD,1,1.7611336032404037,1.883402627612197,0.12226902437179321
36,36.0,MD,1,1.8114517061901292,1.9372236060020513,0.12577189981192216
37,37.0,MD,1,1.8617698091398547,1.9910460177384586,0.1292762085986039
38,38.0,MD,1,1.9120879120895804,2.044853521727701,0.13276560963812045
39,39.0,MD,1,1.9624060150393063,2.0986516310172463,0.13624561597793994
40,40.0,MD,1,2.0127241179890323,2.152464921845355,0.1397408038563226
41,41.0,MD,1,2.063042220938758,2.2062828286076925,0.14324060766893432
42,42.0,MD,1,2.1133603238884846,2.2601195765333975,0.14675925264491285
43,43.0,MD,1,2.163678426838211,2.313955403446677,0.15027697660846595
44,44.0,MD,1,2.213996529787937,2.3677951337102887,0.15379860392235178
45,45.0,MD,1,2.2643146327376633,2.4216294008890036,0.15731476815134027
46,46.0,MD,1,2.3146327356873897,2.475437760061264,0.16080502437387434
47,47.0,MD,1,2.364950838637116,2.5292423707369904,0.16429153209987435
48,48.0,MD,1,2.415268941586842,2.5830671577247233,0.16779821613788126
49,49.0,MD,1,2.465587044536568,2.6368813937938005,0.17129434925723253
50,50.0,MD,1,2.515905147486294,2.690684002044968,0.17477885455867392
51,51.0,MD,1,2.56622325043602,2.7444873013918154,0.17826405095579556
52,52.0,MD,1,2.616541353385746,2.7983060111492164,0.18176465776347062
53,53.0,MD,1,2.6668594563354713,2.8521209683354356,0.18526151199996432
54,54.0,MD,1,2.717177559285197,2.905921732066042,0.188744172780845
55,55.0,MD,1,2.767495662234923,2.9597294035927653,0.1922337413578421
56,56.0,MD,1,2.8178137651846495,3.013544270424379,0.19573050523972935
57,57.0,MD,1,2.868131868134376,3.0673559611612595,0.1992240930268836
58,58.0,MD,1,2.9184499710841023,3.1211727863358267,0.20272281525172442
59,59.0,MD,1,2.9687680740338287,3.174967431310951,0.20619935727712235
60,60.0,MD,1,3.019086176983555,3.2287790327512225,0.20969285576766739
61,61.0,MD,1,3.0694042799332815,3.282587319714781,0.21318303978149933
62,62.0,MD,1,3.119722382883008,3.33638352249173,0.21666113960872213
63,63.0,MD,1,3.170040485832734,3.39019380049439,0.2201533146616561
64,64.0,MD,1,3.22035858878246,3.4440185904742746,0.22366000169181444
65,65.0,MD,1,3.2706766917321866,3.4978220562193294,0.22714536448714284
66,66.0,MD,1,3.320994794681913,3.551649143913164,0.23065434923125094
67,67.0,MD,1,3.3713128976316398,3.6054537400982234,0.23414084246658362
68,68.0,MD,1,3.4216310005813666,3.659276683073647,0.23764568249228057
69,69.0,MD,1,3.471949103531094,3.7130972138885427,0.24114811035744887
70,70.0,MD,1,3.5222672064808207,3.7669304097959,0.2446632033150795
71,71.0,MD,1,3.572585309430548,3.820769390067545,0.24818408063699682
72,72.0,MD,1,3.622903412380275,3.8746203398018983,0.25171692742162355
73,73.0,MD,1,3.673221515330002,3.928404530788503,0.25518301545850086
74,74.0,MD,1,3.723539618279729,3.982234001908887,0.258694383629158
75,75.0,MD,1,3.7738577212294557,4.036063429198433,0.262205707968977
76,76.0,MD,1,3.824175824179182,4.089897479210626,0.2657216550314443
77,77.0,MD,1,3.8744939271289094,4.14371639430652,0.2692224671776109
78,78.0,MD,1,3.9248120300786367,4.197550613564056,0.27273858348541946
79,79.0,MD,1,3.975130133028364,4.251387810568901,0.2762576775405372
80,80.0,MD,1,4.025448235978091,4.305219249924566,0.2797710139464744
81,81.0,MD,1,4.075766338927818,4.359013246344837,0.28324690741701897
82,82.0,MD,1,4.126084441877546,4.412842139674012,0.28675769779646654
83,83.0,MD,1,4.1764025448272735,4.466683093640339,0.2902805488130653
84,84.0,MD,1,4.226720647777001,4.520518794419313,0.2937981466423114
85,85.0,MD,1,4.277038750726729,4.574329344948227,0.29729059422149806
86,86.0,MD,1,4.327356853676457,4.628175609290931,0.3008187556144746
87,87.0,MD,1,4.377674956626184,4.682019343667087,0.30434438704090283
88,88.0,MD,1,4.427993059575912,4.735838207104867,0.30784514752895475
89,89.0,MD,1,4.47831116252564,4.789641533146856,0.31133037062121627
90,90.0,MD,1,4.5286292654753675,4.843483908932626,0.31485464345725855
91,91.0,MD,1,4.578947368425095,4.897302739867026,0.31835537144193093
92,92.0,MD,1,4.629265471374823,4.951126518169983,0.3218610467951599
93,93.0,MD,1,4.679583574324551,5.004936070456034,0.3253524961314831
94,94.0,MD,1,4.729901677274279,5.058779002189212,0.3288773249149326
95,95.0,MD,1,4.780219780224007,5.1125996803584535,0.3323799001344465
96,96.0,MD,1,4.830537883173736,5.166428331522292,0.3358904483485565
97,97.0,MD,1,4.880855986123464,5.220234848496925,0.3393788623734606
98,98.0,MD,1,4.931174089073192,5.2740456843057775,0.3428715952325856
99,99.0,MD,1,4.9814921920229205,5.327867710001765,0.3463755179788448
100,100.0,MD,1,5.031810294972648,5.381699426796158,0.34988913182350956
101,101.0,MD,1,5.082128397922375,5.43552121455499,0.35339281663261524
102,102.0,MD,1,5.132446500872102,5.489341383188639,0.35689488231653677
103,103.0,MD,1,5.182764603821829,5.543160074874552,0.3603954710527235
104,104.0,MD,1,5.233082706771556,5.596959365614458,0.36387665884290143
105,105.0,MD,1,5.283400809721283,5.650795688668148,0.3673948789468646
106,106.0,MD,1,5.333718912671011,5.704602031559516,0.37088311888850534
107,107.0,MD,1,5.384037015620738,5.758417666457909,0.3743806508371712
108,108.0,MD,1,5.434355118570464,5.812245021144318,0.37788990257385446
109,109.0,MD,1,5.48467322152019,5.866080953235516,0.38140773171532594
110,110.0,MD,1,5.534991324469916,5.919895561152064,0.38490423668214824
111,111.0,MD,1,5.5853094274196415,5.973713115311039,0.38840368789139745
112,112.0,MD,1,5.6356275303693675,6.027523007852458,0.3918954774830903
113,113.0,MD,1,5.685945633319094,6.081332398857445,0.3953867655383503
114,114.0,MD,1,5.736263736268821,6.135138727855615,0.3988749915867942
115,115.0,MD,1,5.786581839218548,6.188945777862668,0.40236393864412
116,116.0,MD,1,5.836899942168275,6.242769745187574,0.4058698030192991
117,117.0,MD,1,5.887218045118002,6.2965846679654245,0.40936662284742287
118,118.0,MD,1,5.937536148067729,6.350388591260366,0.41285244319263636
119,119.0,MD,1,5.987854251017456,6.404194503626156,0.4163402526087001
120,120.0,MD,1,6.038172353967183,6.458014745337518,0.4198423913703353
121,121.0,MD,1,6.088490456916911,6.51181934751082,0.42332889059390943
122,122.0,MD,1,6.1388085598666375,6.565619171302398,0.4268106114357604
123,123.0,MD,1,6.189126662816364,6.61941931951132,0.43029265669495587
124,124.0,MD,1,6.239444765766091,6.673197902056063,0.4337531362899716
125,125.0,MD,1,6.289762868715818,6.727007658922067,0.4372447902062486
126,126.0,MD,1,6.340080971665546,6.780801470031106,0.44072049836556015
127,127.0,MD,1,6.390399074615273,6.834587188436872,0.44418811382159973
128,128.0,MD,1,6.440717177565,6.888370742419369,0.44765356485436847
129,129.0,MD,1,6.491035280514729,6.942104706859182,0.45106942634445346
130,130.0,MD,1,6.541353383464457,6.995880417972711,0.4545270345082546
131,131.0,MD,1,6.591671486414184,7.049670893214878,0.4579994068006936
132,132.0,MD,1,6.641989589363912,7.10347133481193,0.461481745448018
133,133.0,MD,1,6.69230769231364,7.1572576516980595,0.46494995938441974
134,134.0,MD,1,6.742625795263367,7.211065491980392,0.46843969671702546
135,135.0,MD,1,6.792943898213093,7.264860931525469,0.47191703331237544
136,136.0,MD,1,6.8432620011628185,7.31864698335083,0.47538498218801184
137,137.0,MD,1,6.893580104112546,7.372450305328915,0.4788702012163686
138,138.0,MD,1,6.943898207062272,7.4262443009226144,0.48234609386034233
139,139.0,MD,1,6.994216310011998,7.480039878270671,0.4858235682586729
140,140.0,MD,1,7.044534412961724,7.533835114901373,0.4893007019396487
