iteration,energy,best_energy,reference_minimum_energy
0,-7537.228768200282,-7537.22876820028,-7547.11162521689
1,-7537.348888081991,-7537.348888810907,-7547.11162521689
10,-7540.297129188603,-7540.297130294452,-7547.11162521689
20,-7543.219115430306,-7543.219116021366,-7547.11162521689
30,-7544.99658430628,-7544.996584496274,-7547.11162521689
40,-7546.017270923328,-7546.017271018474,-7547.11162521689
50,-7546.503051656729,-7546.503051771686,-7547.11162521689
60,-7546.788147552805,-7546.788147796595,-7547.11162521689
70,-7546.9342170176,-7546.934217051828,-7547.11162521689
80,-7547.016393463094,-7547.016393489832,-7547.11162521689
90,-7547.055674450226,-7547.055674490825,-7547.11162521689
100,-7547.076568739973,-7547.0765687534,-7547.11162521689
