window_index,time,vqls_cost_C_theta,sqrt_cost_source_value
1,0.1,4.361270566910492e-08,0.00020883655252159502
2,0.2,3.5835958644980792e-09,5.9863142788347484e-05
3,0.30000000000000004,8.177672095044386e-09,9.043048211219702e-05
4,0.4,8.559648545514165e-10,2.925687704713913e-05
5,0.5,1.3022256606376459e-09,3.608636391544105e-05
6,0.6000000000000001,1.7622376891068825e-09,4.197901486584556e-05
7,0.7000000000000001,8.450189992181835e-09,9.192491496967421e-05
8,0.8,2.077627658803038e-08,0.0001441397814207805
9,0.9,7.379378075267339e-08,0.00027165010722006607
10,1.0,2.1331773669697182e-07,0.0004618633311889696
11,1.1,5.712172007621419e-07,0.0007557891245328567
12,1.2000000000000002,1.3554546371974394e-06,0.0011642399397020528
13,1.3,2.725725462782158e-06,0.0016509771236398638
14,1.4000000000000001,4.95351491758278e-06,0.002225649324934811
15,1.5,7.088133022636888e-06,0.002662354789023598
16,1.6,7.547949812947153e-06,0.0027473532377448578
17,1.7000000000000002,6.9937755743376675e-06,0.002644574743571765
18,1.8,2.26371972522621e-06,0.0015045662914030108
19,1.9000000000000001,8.206623923756595e-07,0.0009059041849862818
20,2.0,3.471987121139719e-07,0.0005892357016627318
21,2.1,3.011095996985347e-07,0.0005487345439267831
22,2.2,1.1851343351132472e-07,0.00034425780094476396
23,2.3000000000000003,2.0247174603582607e-08,0.00014229256693019002
24,2.4000000000000004,6.880351399729535e-09,8.294788363622989e-05
25,2.5,1.4147466309566427e-08,0.00011894312216167199
26,2.6,7.718518157950882e-09,8.785509750692263e-05
27,2.7,6.749116598925298e-09,8.215300724212899e-05
28,2.8000000000000003,3.888785404804196e-09,6.236012672216274e-05
29,2.9000000000000004,3.0319295962755177e-09,5.5062960293426994e-05
30,3.0,9.100874942546966e-09,9.539850597649297e-05
31,3.1,9.585471083539687e-09,9.790541907136544e-05
32,3.2,2.1848001297009038e-08,0.00014781069412261427
33,3.3000000000000003,2.4969744161218443e-08,0.0001580181766798315
34,3.4000000000000004,2.4936103848460792e-08,0.00015791169636369812
35,3.5,8.662938921766283e-09,9.307491026998781e-05
36,3.6,6.6485208449762476e-09,8.153846236578322e-05
37,3.7,1.6181228579270625e-09,4.022589785109914e-05
38,3.8000000000000003,4.5342052334973465e-10,2.1293673317437146e-05
39,3.9000000000000004,5.65692381826466e-10,2.378428854993283e-05
40,4.0,1.6824562854012017e-09,4.10177557333553e-05
41,4.1000000000000005,2.537439147687337e-10,1.5929341316223145e-05
42,4.2,1.4373346957086144e-10,1.1988889421913167e-05
43,4.3,2.813044575056267e-09,5.30381426433493e-05
44,4.4,3.1325919636060457e-10,1.7699129819304806e-05
45,4.5,5.59873369887498e-10,2.3661643431670126e-05
46,4.6000000000000005,1.904122415297138e-10,1.3798994221671151e-05
47,4.7,4.668121444950657e-11,6.8323652163439395e-06
48,4.800000000000001,4.891964611175581e-11,6.99425808158062e-06
49,4.9,4.604594483481605e-11,6.785716235948572e-06
50,5.0,3.0918601012785984e-11,5.560449713178421e-06
