frame,time,atom,vqls_displacement,classical_displacement,vqls_velocity_reconstructed,classical_velocity
0,0.0,1,0.01,0.01,0.0,0.0
0,0.0,2,0.0,0.0,0.0,0.0
0,0.0,3,0.0,0.0,0.0,0.0
1,0.002,1,0.009997379948497047,0.009997366792381926,-0.0013100257514764985,-0.0013166038090369322
1,0.002,2,2.6191373227959638e-06,2.6325799847838047e-06,0.0013095686613979818,0.0013162899923919024
1,0.002,3,2.123588542740295e-09,6.27633290059709e-10,1.0617942713701475e-06,3.138166450298545e-07
2,0.004,1,0.00999215519473833,0.009992103362133933,-0.0026123768793583774,-0.002631715123996864
2,0.004,2,7.839256281401353e-06,7.893500840219285e-06,0.002610059479302695,0.0026304604277177404
2,0.004,3,3.15614383700837e-09,3.1370258483086545e-09,5.162776471340376e-07,1.2546962791244727e-06
3,0.006,1,0.009984342316250026,0.009984214181374004,-0.0039064392441520365,-0.003944590379964516
3,0.006,2,1.5647305987996362e-05,1.577641153980329e-05,0.0039040248532975046,0.003941455349792002
3,0.006,3,1.1619442710932242e-08,9.407086193337552e-09,4.231649436961936e-06,3.135030172514449e-06
4,0.008,1,0.00997395499187335,0.009973705204000722,-0.005193662188338576,-0.005254488686641084
4,0.008,2,2.6023187171923236e-05,2.627285677282495e-05,0.005187940591963437,0.00524822261651083
4,0.008,3,2.1968034668553073e-08,2.193922645385017e-08,5.174295978810415e-06,6.266070130256309e-06
5,0.01,1,0.009961002874084315,0.009960583859025434,-0.006476058894516919,-0.006560672487644172
5,0.01,2,3.894988764185951e-05,3.937228645894866e-05,0.006463350234968138,0.006549714843061854
5,0.01,3,4.5137612800241556e-08,4.3854515618483036e-08,1.1584789065844241e-05,1.0957644582316434e-05
6,0.012,1,0.009945522385429235,0.009944859042596963,-0.007740244327539975,-0.007862408214235984
6,0.012,2,5.439620806435319e-05,5.50620671369049e-05,0.007723160211246837,0.007844890338978118
6,0.012,3,8.010344242135098e-08,7.889026613421522e-08,1.7482914810554714e-05,1.751787525786609e-05
7,0.014,1,0.009927508256932855,0.009926541108731793,-0.009007064248190214,-0.009158966932584995
7,0.014,2,7.235625124576212e-05,7.332749521297547e-05,0.008980021590704466,0.009132714038035289
7,0.014,3,1.2805362409776772e-07,1.313960552336253e-07,2.3975090838208368e-05,2.625289454970504e-05
8,0.016,1,0.00990704591455658,0.009905641858764433,-0.010231171188137753,-0.01044962498368046
8,0.016,2,9.284995888047421e-05,9.41518120529798e-05,0.010246853817356046,0.010412158420002164
8,0.016,3,2.588281653076423e-07,2.063291825902068e-07,6.53872706049373e-05,3.7466563678290754e-05
9,0.018000000000000002,1,0.00988405656969687,0.009882174529534361,-0.011494672429854767,-0.011733664615035257
9,0.018000000000000002,2,0.00011573700713975079,0.00011751622089951273,0.01144352412963829,0.011682204423266465
9,0.018000000000000002,3,3.602074352639915e-07,3.092495661277886e-07,5.068963497817459e-05,5.146019176879088e-05
10,0.02,1,0.009858604158007574,0.009856153780327701,-0.012726205844647981,-0.013010374603329908
10,0.02,2,0.00014105024688812294,0.0001433999055942548,0.012656619874186073,0.012941842347371032
10,0.02,3,4.953202100981055e-07,4.463140780455415e-07,6.755638741705697e-05,6.853225595887648e-05
11,0.022,1,0.009830716685823557,0.009827595678593362,-0.013943736092008295,-0.014279050867169879
11,0.022,2,0.00016876085360005954,0.00017178005108327534,0.013855303355968298,0.014190072744510264
11,0.022,3,6.716183278135305e-07,6.242703233647648e-07,8.814905885771253e-05,8.897812265961164e-05
12,0.024,1,0.009800406294359068,0.009796517684455063,-0.015155195732244851,-0.015538997069148882
12,0.024,2,0.00019885116355341696,0.00020263186568137963,0.01504515497667871,0.015425907299052135
12,0.024,3,8.942179119685935e-07,8.504498635582549e-07,0.0001112997920775315,0.00011308977009674505
13,0.026000000000000002,1,0.009767698331672731,0.009762938634042198,-0.016353981343168386,-0.016789525206433027
13,0.026000000000000002,2,0.00023126032910183322,0.0002359286050697158,0.01620458277420813,0.01664836969416808
13,0.026000000000000002,3,1.184480613995715e-06,1.1327608880881524e-06,0.00014513135101356078,0.00014115551226494868
14,0.028,1,0.009732608125998996,0.009726878721663989,-0.01754510283686738,-0.01802995618910419
14,0.028,2,0.00026599777189777776,0.0002716415979990581,0.01736872139797227,0.01785649646467115
14,0.028,3,1.527491832497628e-06,1.4796803369542421e-06,0.00017150560925095648,0.00017345972443304485
15,0.03,1,0.009695166446741075,0.009688359480852936,-0.018720839628960824,-0.019259620405525913
15,0.03,2,0.0003030075386477171,0.00030974027366942195,0.01850488337496966,0.019049337835181934
15,0.03,3,1.94391947003157e-06,1.9002454776422318e-06,0.00020821381876697098,0.0002102825703439948
16,0.032,1,0.009655409606578293,0.009647403764304894,-0.019878420081390763,-0.020477858274021328
16,0.032,2,0.0003422663226058491,0.00035019219075494595,0.019629391979065998,0.020225958542762
16,0.032,3,2.4433598611988153e-06,2.4040449401609326e-06,0.00024972019558362264,0.0002518997312593505
17,0.034,1,0.009613353898974141,0.009604035722744535,-0.021027853802075766,-0.021684020780180075
17,0.034,2,0.00038373807689190707,0.0003929630680412982,0.020735877143028998,0.021385438643176123
17,0.034,3,3.0480837629446068e-06,3.0012092141688826e-06,0.00030236195087289574,0.000298582137003975
18,0.036000000000000004,1,0.00956901468264631,0.009558280782746256,-0.022169608163915763,-0.022877469999139703
18,0.036000000000000004,2,0.0004273768830140491,0.00043801681664123153,0.021819403061071024,0.022526874299966658
18,0.036000000000000004,3,3.7436488369800355e-06,3.702400612515028e-06,0.00034778253701771435,0.00035059569917307256
19,0.038,1,0.009522431729387982,0.009510165623541822,-0.023291476629164025,-0.02405757960221695
