step,time,vqls_cost
1,0.002,5.37E-06
2,0.004,4.64E-06
3,0.006,3.77E-06
4,0.008,2.94E-06
5,0.01,2.23E-06
6,0.012,1.67E-06
7,0.014,1.25E-06
8,0.016,9.38E-07
9,0.018,7.09E-07
10,0.02,5.41E-07
11,0.022,4.17E-07
12,0.024,3.24E-07
13,0.026,2.54E-07
14,0.028,2.01E-07
15,0.03,1.61E-07
16,0.032,1.29E-07
17,0.034,1.04E-07
18,0.036,8.52E-08
19,0.038,6.99E-08
20,0.04,5.76E-08
21,0.042,4.78E-08
22,0.044,3.99E-08
23,0.046,3.34E-08
24,0.048,2.82E-08
25,0.05,2.39E-08
26,0.052,2.03E-08
27,0.054,1.73E-08
28,0.056,1.49E-08
29,0.058,1.28E-08
30,0.06,1.11E-08
31,0.062,9.71E-09
32,0.064,8.50E-09
33,0.066,7.47E-09
34,0.068,6.60E-09
35,0.07,5.86E-09
36,0.072,5.22E-09
37,0.074,4.66E-09
38,0.076,4.20E-09
39,0.078,3.80E-09
40,0.08,3.45E-09
41,0.082,3.13E-09
42,0.084,2.87E-09
43,0.086,2.63E-09
44,0.088,2.43E-09
45,0.09,2.25E-09
46,0.092,2.09E-09
47,0.094,1.95E-09
48,0.096,1.84E-09
49,0.098,1.73E-09
50,0.1,1.63E-09
51,0.102,1.56E-09
52,0.104,1.49E-09
53,0.106,1.43E-09
54,0.108,1.38E-09
55,0.11,1.34E-09
56,0.112,1.31E-09
57,0.114,1.27E-09
58,0.116,1.24E-09
59,0.118,1.22E-09
60,0.12,1.19E-09
61,0.122,1.17E-09
62,0.124,1.16E-09
63,0.126,1.14E-09
64,0.128,1.14E-09
65,0.13,1.15E-09
66,0.132,1.15E-09
67,0.134,1.15E-09
68,0.136,1.15E-09
69,0.138,1.14E-09
70,0.14,1.16E-09
71,0.142,1.16E-09
72,0.144,1.18E-09
73,0.146,1.20E-09
74,0.148,1.21E-09
75,0.15,1.23E-09
76,0.152,1.25E-09
77,0.154,1.26E-09
78,0.156,1.29E-09
79,0.158,1.31E-09
80,0.16,1.34E-09
81,0.162,1.36E-09
82,0.164,1.39E-09
83,0.166,1.43E-09
84,0.168,1.46E-09
85,0.17,1.50E-09
86,0.172,1.54E-09
87,0.174,1.59E-09
88,0.176,1.63E-09
89,0.178,1.68E-09
90,0.18,1.72E-09
91,0.182,1.77E-09
92,0.184,1.82E-09
93,0.186,1.88E-09
94,0.188,1.94E-09
95,0.19,2.00E-09
96,0.192,2.07E-09
97,0.194,2.14E-09
98,0.196,2.22E-09
99,0.198,2.29E-09
100,0.2,2.37E-09
101,0.202,2.46E-09
102,0.204,2.54E-09
103,0.206,2.62E-09
104,0.208,2.71E-09
105,0.21,2.80E-09
106,0.212,2.88E-09
107,0.214,2.98E-09
108,0.216,3.07E-09
109,0.218,3.17E-09
110,0.22,3.26E-09
111,0.222,3.37E-09
112,0.224,3.46E-09
113,0.226,3.56E-09
114,0.228,3.66E-09
115,0.23,3.76E-09
116,0.232,3.86E-09
117,0.234,3.96E-09
118,0.236,4.02E-09
119,0.238,4.13E-09
120,0.24,4.22E-09
121,0.242,4.31E-09
122,0.244,4.40E-09
123,0.246,4.48E-09
124,0.248,4.56E-09
125,0.25,4.64E-09
126,0.252,4.71E-09
127,0.254,4.78E-09
128,0.256,4.85E-09
129,0.258,4.91E-09
130,0.26,4.98E-09
131,0.262,5.04E-09
132,0.264,5.10E-09
133,0.266,5.14E-09
134,0.268,5.20E-09
135,0.27,5.25E-09
136,0.272,5.31E-09
137,0.274,5.39E-09
138,0.276,5.41E-09
139,0.278,5.45E-09
140,0.28,5.50E-09
141,0.282,5.53E-09
142,0.284,5.55E-09
143,0.286,5.60E-09
144,0.288,5.64E-09
145,0.29,5.69E-09
146,0.292,5.73E-09
147,0.294,5.76E-09
148,0.296,5.80E-09
149,0.298,5.86E-09
150,0.3,5.89E-09
