time_ps,comparison,error_isolated,max_abs_displacement_error_nm,rms_displacement_error_nm,max_abs_velocity_error_nm_per_ps,rms_velocity_error_nm_per_ps
0.0,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,0.0,0.0,0.0,0.0
0.002,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,7.701831835488226e-09,6.2884568801582845e-09,3.850915917744113e-06,3.1442284400791605e-06
0.004,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,3.0790462008170594e-08,2.5139307543572534e-08,1.1544315086341184e-05,9.425425337300635e-06
0.006,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,6.921535656949362e-08,5.65090448053449e-08,1.9212447280661515e-05,1.5684868714943077e-05
0.008,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,1.2289249921686174e-07,1.003253326174139e-07,2.6838571323684057e-05,2.190814437804784e-05
0.01,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,1.917046995730809e-07,1.564872680628233e-07,3.440610017810958e-05,2.8080969414678437e-05
0.012,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,2.755020244542272e-07,2.2486574816508845e-07,4.1898662440573164e-05,3.4189244725414346e-05
0.014,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,3.7410234780994867e-07,3.053039372627041e-07,4.930016167786072e-05,4.02191054358288e-05
0.016,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,4.872920139498832e-07,3.976178307139489e-07,5.6594833069967265e-05,4.615696920192362e-05
0.018000000000000002,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,6.148266144291592e-07,5.015969155633632e-07,6.3767300239638e-05,5.198958484391712e-05
0.02,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,7.564318790925784e-07,6.170049288061732e-07,7.080263233170958e-05,5.7704081313152976e-05
0.022,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,9.118046742397079e-07,7.435807064813004e-07,7.768639757356477e-05,6.328801329356473e-05
0.024,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,1.0806140719483298e-06,8.810390908129833e-07,8.440469885431096e-05,6.872939044196692e-05
0.026000000000000002,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,1.26250255273741e-06,1.0290719565310746e-06,9.094424039454013e-05,7.401673720170073e-05
0.028,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,1.4570872701059195e-06,1.1873492853931226e-06,9.729235868425473e-05,7.913911717860311e-05
0.03,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,1.6639614006646458e-06,1.3555203150579748e-06,0.00010343706527936314,8.408617061591744e-05
0.032,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,1.882695569744089e-06,1.533214752860238e-06,0.00010936708453972155,8.884814718482825e-05
0.034,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,2.112839349859008e-06,1.7200440528997467e-06,0.0001150718900574596,9.341593802397804e-05
0.036000000000000004,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,2.353922816084042e-06,1.915602741143809e-06,0.00012054173311251692,9.778110018737476e-05
0.038,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,2.6054581284164213e-06,2.1194697605899883e-06,0.00012576765616618968,0.00010193586719896881
0.04,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,2.866941205405954e-06,2.3312099026899947e-06,0.00013074153849476633,0.00010587319270219296
0.042,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,3.137853397875215e-06,2.550375233346611e-06,0.00013545609623463045,0.00010958674843197405
0.044,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,3.417663196912668e-06,2.7765065501811302e-06,0.0001399048995187266,0.00011307094058231935
0.046,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,3.7058279648959774e-06,3.009134861341388e-06,0.00014408238399165468,0.00011632092140913482
0.048,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,4.0017956875193494e-06,3.247782885134865e-06,0.000147983861311686,0.00011933260057480567
0.05,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,4.3050067197996505e-06,3.4919665439352502e-06,0.00015160551614015055,0.00012210264338703586
